title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,passed
"Card Counter, The",2021,11196036,10360,1,6.2,43182,111.0,Crime,Drama,Thriller,0
Chaos Walking,2021,2076822,11264,3,5.7,56465,109.0,Action,Adventure,Fantasy,1
Cherry,2021,9130508,9571,0,6.6,37546,142.0,Biography,Crime,Drama,0
Cinderella,2021,10155932,10036,3,4.4,46882,112.0,Comedy,Family,Fantasy,1
Clifford The Big Red Dog,2021,2397461,10826,1,5.9,17174,96.0,Adventure,Comedy,Family,0
Coming 2 America,2021,6802400,9519,3,5.3,75691,110.0,Comedy,Music,,1
"Conjuring: The Devil Made Me Do It, The",2021,7069210,9914,1,6.3,139830,112.0,Horror,Mystery,Thriller,0
Cousins,2021,10483044,9647,3,6.9,674,98.0,Drama,,,1
Cruella,2021,3228774,9861,3,7.3,266917,134.0,Adventure,Comedy,Crime,1
Cyrano,2021,12889404,10682,2,6.4,14955,123.0,Drama,Musical,Romance,0
Dark Web: Cicada 3301,2021,8110246,10309,3,5.0,2515,104.0,Action,Comedy,Thriller,1
Dear Evan Hansen,2021,9357050,10224,1,6.1,18699,137.0,Drama,Musical,,0
Don&#146;t Look Up,2021,11286314,10168,3,7.2,604566,138.0,Comedy,Drama,Sci-Fi,1
Drive My Car,2021,14039582,10014,3,7.5,66450,179.0,Drama,,,1
"Dry, The",2021,5144174,9498,3,6.9,33457,117.0,Crime,Drama,Mystery,1
Dune,2021,1160419,10052,3,8.0,868809,155.0,Action,Adventure,Drama,1
Encanto,2021,2953050,10151,3,7.2,263660,102.0,Animation,Comedy,Family,1
Enqu&ecirc;te sur un scandale d&#39;&eacute;tat,2021,8415986,11246,1,5.9,809,121.0,Crime,Drama,Thriller,0
Escape Room: Tournament of Champions,2021,9844522,10043,3,5.7,59894,88.0,Action,Adventure,Horror,1
Eternals,2021,9032400,10118,3,6.3,387581,156.0,Action,Adventure,Fantasy,1
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,2458948,11185,3,8.0,14330,155.0,Action,Animation,Drama,1
Every Time a Bell Rings,2021,15943414,10158,3,6.0,1003,84.0,Romance,,,1
Everything Will Change,2021,13086274,10590,0,6.1,194,93.0,Drama,Sci-Fi,,0
"Eyes of Tammy Faye, The",2021,9115530,10047,3,6.6,39078,126.0,Biography,Drama,Romance,1
F9 - The Fast Saga,2021,5433138,9917,3,5.2,162930,143.0,Action,Crime,Thriller,1
Farha,2021,11555492,10830,3,8.1,88909,92.0,Drama,,,1
Fatherhood,2021,4733624,9913,3,6.6,42784,109.0,Comedy,Drama,,1
Fear Street: Part One - 1994,2021,6566576,9963,3,6.2,94695,107.0,Drama,Horror,Mystery,1
Fear Street: Part Three - 1666,2021,9701942,10006,3,6.6,63866,114.0,Horror,Mystery,,1
Fear Street: Part Two - 1978,2021,9701940,9965,3,6.7,76736,109.0,Drama,Horror,Mystery,1
Finding &#39;Ohana,2021,10332588,9473,3,6.1,11696,123.0,Action,Adventure,Comedy,1
Flashback,2021,14371426,10261,3,6.1,921,94.0,Comedy,Sci-Fi,,1
France,2021,9714030,10537,3,5.9,4709,133.0,Comedy,Drama,,1
Free Guy,2021,6264654,10012,1,7.1,428610,115.0,Action,Adventure,Comedy,0
"French Dispatch, The",2021,8847712,10115,3,7.1,151258,107.0,Comedy,Drama,Romance,1
G&ucirc;zen to s&ocirc;z&ocirc; [Wheel of Fortune and Fantasy],2021,14034966,10355,3,7.5,9906,121.0,Drama,Romance,,1
Ghostbusters: Afterlife,2021,4513678,10361,3,7.0,220823,124.0,Adventure,Comedy,Fantasy,1
Godzilla Vs Kong,2021,5034838,10259,3,6.3,243854,113.0,Action,Sci-Fi,Thriller,1
Good on Paper,2021,8231668,10017,3,5.6,13980,92.0,Comedy,Romance,,1
Great Freedom,2021,14775784,10307,0,7.5,7406,116.0,Drama,,,0
"Green Knight, The",2021,9243804,10015,1,6.6,118678,130.0,Adventure,Drama,Fantasy,0
"Guilty, The",2021,9421570,10079,1,6.3,149697,90.0,Crime,Drama,Thriller,0
Gunpowder Milkshake,2021,8368408,9997,3,6.1,51433,114.0,Action,Crime,Thriller,1
"Harder They Fall, The",2021,10696784,10123,3,6.6,71459,139.0,Action,Drama,Western,1
"Hating Game, The",2021,8718158,10520,3,6.2,27184,102.0,Comedy,Romance,,1
Hear Me Out,2021,14371818,10604,3,6.4,733,93.0,Comedy,Romance,,1
High Ground,2021,9286908,9500,2,6.5,2513,104.0,Action,Drama,Thriller,0
"Hill Where Lionesses Roar, The",2021,11379572,10808,3,6.0,408,83.0,Drama,,,1
Hiraeth,2021,4552196,10285,3,8.0,10,,Drama,,,1
"Hitman&#39;s Wife&#39;s Bodyguard, The",2021,8385148,9984,0,6.1,108288,100.0,Action,Comedy,Crime,0
House of Gucci,2021,11214590,10459,2,6.6,160481,158.0,Biography,Crime,Drama,0
In the Heights,2021,1321510,9889,3,7.3,52252,143.0,Drama,Musical,Romance,1
"Influencer, The",2021,10868922,10023,3,3.7,149,90.0,Comedy,Drama,Thriller,1
Injustice,2021,5012504,10380,1,6.4,16142,78.0,Action,Adventure,Animation,0
Inmersi&oacute;n,2021,13845792,10660,1,5.6,418,82.0,Thriller,,,0
Jolt,2021,10228134,10399,3,5.6,35496,91.0,Action,Comedy,Crime,1
Judas and The Black Messiah,2021,9784798,9513,2,7.4,91736,126.0,Biography,Drama,History,0
Jujutsu Kaisen 0,2021,14331144,10618,1,7.8,38693,112.0,Action,Animation,Fantasy,0
Jungle Cruise,2021,870154,9996,3,6.6,213257,127.0,Action,Adventure,Comedy,1
Kate,2021,7737528,10172,2,6.2,70783,106.0,Action,Adventure,Crime,0
King Richard,2021,9620288,10458,3,7.5,137695,144.0,Biography,Drama,Sport,1
"King&#39;s Man, The",2021,6856242,10216,1,6.3,174481,131.0,Action,Adventure,Thriller,0
"Kissing Booth 3, The",2021,12783454,10050,3,4.8,22148,112.0,Comedy,Romance,,1
Lamb,2021,9812474,10364,1,6.3,38662,106.0,Drama,Fantasy,Horror,0
"Last Duel, The",2021,4244994,10085,3,7.4,183167,152.0,Action,Drama,History,1
Last Night in Soho,2021,9639470,10116,3,7.0,178280,116.0,Drama,Horror,Mystery,1
Licorice Pizza,2021,11271038,10185,3,7.1,140763,133.0,Comedy,Drama,Romance,1
"Little Things, The",2021,10016180,10027,3,6.3,127372,128.0,Crime,Drama,Mystery,1
"Lost Daughter, The",2021,9100054,10129,3,6.7,75401,121.0,Drama,,,1
Love Hard,2021,10752004,10152,2,6.3,61791,104.0,Comedy,Romance,,0
Luca,2021,12801262,9964,1,7.4,195475,95.0,Adventure,Animation,Comedy,0
Madame Claude,2021,10307724,10019,3,5.4,4056,112.0,Biography,Crime,Drama,1
Malignant,2021,3811906,10048,3,6.2,109908,111.0,Crime,Horror,Mystery,1
"Many Saints of Newark, The",2021,8110232,10074,2,6.3,63537,120.0,Crime,Drama,,0
"Marksman, The",2021,6902332,10009,2,5.7,43412,108.0,Action,Drama,Thriller,0
Mass,2021,11389748,10206,3,7.6,17569,111.0,Drama,,,1
"Matrix Resurrections, The",2021,10838180,10167,3,5.7,280940,148.0,Action,Sci-Fi,,1
"Mauritanian, The",2021,4761112,9612,3,7.5,62212,129.0,Biography,Crime,Drama,1
Memoria,2021,8399288,10337,3,6.5,11208,136.0,Drama,Mystery,Sci-Fi,1
"Mitchells vs the Machines, The",2021,7979580,9799,3,7.6,127460,114.0,Adventure,Animation,Comedy,1
Mortal Kombat,2021,293429,9682,2,6.0,190806,110.0,Action,Adventure,Fantasy,0
Moxie,2021,6432466,9526,3,6.7,28818,111.0,Comedy,Drama,,1
My Little Pony: A New Generation,2021,10101702,10619,3,6.8,4539,90.0,Adventure,Animation,Comedy,1
Night Teeth,2021,10763820,10114,2,5.7,21657,107.0,Action,Crime,Drama,0
Nightmare Alley,2021,7740496,10186,1,7.0,165940,150.0,Crime,Drama,Thriller,0
No Sudden Move,2021,11525644,10026,3,6.4,41215,115.0,Crime,Drama,Mystery,1
No Time To Die,2021,2382320,10075,2,7.3,446326,163.0,Action,Adventure,Thriller,0
Nobody,2021,7888964,9633,1,7.4,326273,92.0,Action,Crime,Drama,0
Official Competition,2021,11700260,10465,1,7.0,14809,115.0,Comedy,Drama,,0
Old,2021,10954652,9983,3,5.8,162013,108.0,Drama,Horror,Mystery,1
On the Count of Three,2021,11160650,10655,1,7.0,8841,86.0,Comedy,Crime,Drama,0
Oxygen,2021,6341832,9827,3,6.5,44437,100.0,Drama,Fantasy,Sci-Fi,1
Parallel Mothers,2021,12618926,10248,3,7.1,36196,123.0,Drama,,,1
"Paris, 13th District (Les Olympiades, Paris 13e)",2021,12708658,10511,3,7.0,9497,105.0,Comedy,Drama,Romance,1
Passing,2021,8893974,10121,3,6.6,16567,98.0,Drama,Mystery,Thriller,1
Petite Maman,2021,13204490,10144,3,7.4,17845,73.0,Drama,Fantasy,,1
Pig,2021,11003218,9998,0,6.9,90136,92.0,Drama,Mystery,,0
Plan B,2021,13172796,9967,3,6.7,4787,107.0,Comedy,,,1
"Power of the Dog, The",2021,10293406,10202,0,6.8,194406,126.0,Drama,Western,,0
Pushpa: The Rise - Part 1,2021,9389998,10463,2,7.6,87882,179.0,Action,Crime,Drama,0
Queen Bees,2021,8338076,10396,3,6.3,3749,100.0,Comedy,Drama,Romance,1
Queenpins,2021,9054192,10793,3,6.4,23729,110.0,Comedy,Crime,,1
Radhe,2021,10888594,9817,0,1.9,179948,109.0,Action,Crime,Thriller,0
Raya and the Last Dragon,2021,5109280,9504,3,7.3,172552,107.0,Action,Adventure,Animation,1
Red Notice,2021,7991608,10164,1,6.3,319319,118.0,Action,Comedy,Thriller,0
Reminiscence,2021,3272066,10018,2,5.9,65806,116.0,Mystery,Romance,Sci-Fi,0
